110.70	4.64	49.58
111.22	4.64	50.91
111.86	4.64	52.22
112.54	4.64	53.35
113.09	4.64	53.85
113.40	4.64	53.47
113.62	4.65	52.81
113.75	4.65	51.99
113.77	4.65	51.11
113.50	4.65	50.51
113.12	4.65	50.06
112.78	4.66	49.70
112.53	4.66	49.44
112.59	4.67	49.36
113.22	4.67	49.58
113.96	4.68	49.83
114.73	4.68	50.02
115.44	4.69	50.10
115.74	4.69	49.55
115.88	4.70	48.83
115.87	4.70	48.04
115.71	4.71	47.25
115.30	4.71	46.55
114.55	4.71	46.06
113.77	4.72	45.72
113.08	4.72	45.56
112.55	4.72	45.62
112.73	4.72	46.29
113.32	4.73	47.29
114.03	4.73	48.32
114.76	4.73	49.28
115.33	4.73	49.85
115.39	4.73	49.49
115.34	4.73	48.96
115.21	4.73	48.35
115.04	4.74	47.80
114.77	4.74	47.65
114.51	4.74	47.87
114.39	4.74	48.28
114.51	4.74	48.85
115.08	4.74	49.65
116.55	4.73	50.84
118.22	4.73	52.03
119.93	4.73	53.10
121.53	4.72	53.93
122.39	4.72	53.76
122.91	4.72	53.21
123.15	4.71	52.44
123.14	4.71	51.54
122.81	4.70	50.67
122.07	4.70	50.00
121.20	4.69	49.42
120.32	4.69	48.95
119.52	4.69	48.63
119.23	4.69	48.74
119.28	4.69	49.12
119.42	4.70	49.55
119.59	4.70	49.96
119.69	4.70	50.19
119.58	4.71	49.92
119.36	4.71	49.53
119.03	4.71	49.05
118.58	4.72	48.52
117.90	4.72	47.98
116.80	4.72	47.45
115.66	4.72	47.01
114.59	4.72	46.68
113.65	4.72	46.52
113.27	4.72	46.83
113.40	4.72	47.55
113.68	4.72	48.36
114.03	4.71	49.17
114.38	4.71	49.89
114.34	4.70	49.94
114.17	4.70	49.76
113.91	4.70	49.49
113.59	4.69	49.16
113.20	4.69	48.85
112.62	4.68	48.73
112.06	4.68	48.68
111.56	4.67	48.73
111.20	4.67	48.90
111.17	4.67	49.35
111.49	4.67	50.05
111.97	4.67	50.79
112.56	4.67	51.50
113.23	4.67	52.06
113.94	4.68	52.23
114.64	4.68	52.25
115.32	4.68	52.14
115.93	4.68	51.92
116.34	4.68	51.55
116.54	4.68	51.08
116.64	4.69	50.59
116.65	4.69	50.13
116.57	4.69	49.74
116.29	4.69	49.65
115.96	4.69	49.70
115.68	4.69	49.86
115.50	4.69	50.12
115.63	4.69	50.52
116.24	4.69	51.10
116.93	4.69	51.66
117.63	4.69	52.13
118.23	4.69	52.45
118.36	4.70	52.16
118.29	4.70	51.63
118.06	4.70	50.99
117.69	4.70	50.30
117.19	4.70	49.64
116.52	4.70	49.14
115.80	4.70	48.74
115.09	4.70	48.47
114.43	4.71	48.36
113.98	4.71	48.63
113.70	4.71	49.14
113.50	4.72	49.74
113.41	4.72	50.39
113.44	4.73	50.98
113.62	4.73	51.44
113.83	4.74	51.82
114.01	4.74	52.11
114.14	4.74	52.29
113.93	4.75	52.12
113.54	4.75	51.77
113.10	4.75	51.40
112.66	4.76	51.07
112.27	4.76	50.85
112.06	4.76	51.13
111.96	4.76	51.57
111.98	4.76	52.09
112.15	4.76	52.66
112.56	4.76	53.22
113.27	4.75	53.74
114.05	4.75	54.19
114.84	4.75	54.53
115.59	4.75	54.71
116.05	4.74	54.48
116.41	4.74	54.10
116.66	4.74	53.62
116.79	4.73	53.07
116.75	4.73	52.50
116.53	4.73	51.97
116.24	4.72	51.48
115.91	4.72	51.06
115.60	4.72	50.74
115.36	4.72	50.69
115.19	4.73	50.79
115.12	4.74	50.99
115.16	4.74	51.28
115.47	4.75	51.67
116.11	4.76	52.15
116.80	4.76	52.62
117.46	4.77	53.03
118.03	4.77	53.31
118.12	4.78	53.12
117.98	4.79	52.73
117.71	4.79	52.27
117.33	4.80	51.81
116.89	4.80	51.45
116.37	4.80	51.37
115.86	4.80	51.38
115.42	4.80	51.48
115.09	4.80	51.66
115.19	4.80	52.00
115.48	4.80	52.41
115.82	4.79	52.83
116.15	4.79	53.21
116.33	4.78	53.43
116.26	4.78	53.41
116.08	4.78	53.34
115.82	4.77	53.23
115.48	4.77	53.12
115.00	4.77	53.12
114.43	4.76	53.19
113.86	4.76	53.31
113.32	4.76	53.47
112.86	4.76	53.67
112.77	4.76	54.00
112.74	4.77	54.34
112.73	4.78	54.67
112.70	4.78	54.96
112.51	4.79	55.08
112.19	4.79	55.06
111.76	4.80	54.99
111.22	4.80	54.89
110.57	4.81	54.77
109.54	4.81	54.67
108.41	4.82	54.59
107.30	4.82	54.55
106.31	4.82	54.55
105.61	4.83	54.65
105.65	4.83	55.02
105.84	4.83	55.38
106.08	4.84	55.69
106.27	4.84	55.88
106.02	4.84	55.62
105.37	4.84	54.98
104.62	4.85	54.26
103.84	4.85	53.53
103.07	4.85	52.87
102.43	4.85	52.62
101.92	4.85	52.57
101.58	4.85	52.66
101.45	4.85	52.87
101.78	4.85	53.24
102.70	4.85	53.81
103.74	4.84	54.39
104.80	4.84	54.90
105.75	4.83	55.29
105.97	4.83	55.15
105.79	4.82	54.72
105.50	4.82	54.18
105.18	4.82	53.61
104.96	4.81	53.10
105.18	4.81	52.95
105.51	4.81	52.85
105.92	4.80	52.77
106.37	4.80	52.67
106.88	4.80	52.43
107.40	4.80	52.08
107.87	4.79	51.72
108.24	4.79	51.37
108.49	4.79	51.04
108.21	4.79	50.76
107.78	4.79	50.56
107.31	4.79	50.45
106.89	4.78	50.46
106.65	4.78	50.69
106.78	4.78	51.25
107.05	4.78	51.88
107.44	4.78	52.54
107.96	4.78	53.17
108.70	4.78	53.53
109.52	4.78	53.76
110.33	4.78	53.89
111.09	4.78	53.92
111.67	4.78	53.84
111.74	4.78	53.54
111.71	4.78	53.20
111.61	4.78	52.86
111.52	4.78	52.57
111.59	4.78	52.49
111.87	4.78	52.67
112.18	4.78	52.90
112.50	4.79	53.11
112.80	4.79	53.27
113.04	4.79	53.14
113.20	4.80	52.93
113.27	4.80	52.65
113.22	4.80	52.32
112.89	4.80	51.96
112.27	4.81	51.57
111.58	4.81	51.20
110.88	4.81	50.86
110.24	4.82	50.59
109.98	4.82	50.53
109.90	4.82	50.58
109.87	4.83	50.67
109.85	4.83	50.78
109.79	4.83	50.85
109.57	4.84	50.79
109.30	4.84	50.72
108.96	4.84	50.63
108.54	4.85	50.54
107.96	4.85	50.43
107.16	4.85	50.30
106.36	4.85	50.23
105.64	4.85	50.23
105.03	4.85	50.34
104.84	4.85	50.74
104.94	4.85	51.33
105.18	4.85	52.00
105.50	4.85	52.68
105.87	4.84	53.34
106.22	4.84	53.89
106.56	4.84	54.36
106.85	4.83	54.72
107.08	4.83	54.94
